# 这是接口或订阅源的白名单，白名单内的接口或订阅源获取的接口将不会参与测速，优先排序至结果最前。
# 填写频道名称会直接保留该记录至最终结果，如：CCTV-1,接口地址，只填写接口地址则对所有频道生效，多条记录换行输入。
# This is the whitelist of the interface or subscription source. The interface in the whitelist or the interface obtained by the subscription source will not participate in the speed measurement and will be prioritized in the result.
# Filling in the channel name will directly retain the record to the final result, such as: CCTV-1,url, only fill in the interface address will be effective for all channels, multiple records newline input.

#🌊港·澳·台,#genre#
鳳凰衛視中文台,http://203.205.191.53/qctv.fengshows.cn/live/0701pcc72.m3u8
鳳凰衛視資訊台,http://203.205.191.53/qctv.fengshows.cn/live/0701pin72.m3u8
鳳凰衛視香港台,http://203.205.191.53/qctv.fengshows.cn/live/0701phk72.m3u8
TVb翡翠台,http://36.36.200.198:44330/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
中天新闻「LiTV」,http://5.44.249.130:5002/ts/8i2mwhruaecye9fa.ts
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8

#🎬-影星专场-,#genre#
周星驰国语,http://131.186.40.172:15002/huya/11342412
周星驰粤语,http://131.186.40.172:15002/huya/11336587
林正英电影,http://iptv.jxpan.vip:18888/aio/huya/11342421
杰森斯坦电影,http://cfss.cc/cdn/hy/21059588.m3u8

#🎬电视剧频道,#genre#
爱情公寓,http://cfss.cc/cdn/hy/11336726.m3u8
爱情公寓,http://iptv.jxpan.vip:18888/aio/huya/11336726
寻秦记,http://cfss.cc/cdn/hy/29465848.m3u8
寻秦记,http://iptv.jxpan.vip:18888/aio/huya/29465848
铁齿铜牙纪晓岚,https://live.metshop.top/huya/11342396
铁齿铜牙纪晓岚,http://cfss.cc/cdn/hy/11342396.m3u8
鬼吹灯之精绝古城,http://cfss.cc/cdn/hy/11352871.m3u8
鬼吹灯之怒晴湘西,http://cfss.cc/cdn/hy/11602075.m3u8
鬼吹灯之龙岭迷窟,http://iptv.jxpan.vip:18888/aio/huya/29465863
鬼吹灯之云南虫谷,http://cfss.cc/cdn/hy/11352898.m3u8
鬼吹灯之精绝古城,http://iptv.jxpan.vip:18888/aio/huya/11352871
鬼吹灯之怒晴湘西,http://iptv.jxpan.vip:18888/aio/huya/11602075
鬼吹灯之龙岭迷窟,http://iptv.jxpan.vip:18888/aio/huya/29465863
鬼吹灯之云南虫谷,http://iptv.jxpan.vip:18888/aio/huya/11352898

#📺-X-,#genre#
CGTN,https://english-livebkali.cgtn.com/live/encgtn_0.m3u8
CGTN纪录,https://english-livebkali.cgtn.com/live/doccgtn_0.m3u8

