🕘️更新时间,#genre#
2025-09-27 19:03:44,http://ygbh.site/php/bfgd.php?id=488

📺央视超清频道,#genre#
CCTV-1 综合,http://ygbh.site/php/bfgd.php?id=488
CCTV-1 综合,http://218.241.192.50:8808/rtp/239.3.1.129:8008
CCTV-1 综合,http://ygbh.site/php/bfgd.php?id=488
CCTV-1 综合,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
CCTV-1 综合,http://1.180.2.93:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV-1 综合,http://153.0.171.163:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1 综合,http://60.16.0.216:5757/hls/1/index.m3u8
CCTV-1 综合,http://drive.mxmy.net:8888/udp/239.3.1.129:8008
CCTV-1 综合,http://59.39.89.130:60901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1 综合,http://120.238.94.10:9901/tsfile/live/1018_1.m3u8
CCTV-1 综合,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1 综合,http://221.2.148.205:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1 综合,http://112.123.206.32:808/hls/1/index.m3u8
CCTV-1 综合,http://223.241.247.214:9901/tsfile/live/0001_1.m3u8
CCTV-1 综合,http://61.156.228.12:8154/tsfile/live/0001_1.m3u8
CCTV-2 财经,http://ygbh.site/php/bfgd.php?id=061
CCTV-2 财经,http://218.241.192.50:8808/rtp/239.3.1.60:8084
CCTV-2 财经,http://ygbh.site/php/bfgd.php?id=061
CCTV-2 财经,http://1.180.2.93:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV-2 财经,http://60.16.0.216:5757/hls/2/index.m3u8
CCTV-2 财经，http://153。0。171。163:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2 财经，http://123。129。70。178:9901/tsfile/live/0002_1。m3u8?key=txiptv&playlive=1&authid=0
CCTV-2 财经，http://120。238。94。10:9901/tsfile/live/1019_1.m3u8
CCTV-2 财经，https://ldocctvwbcdtxy。liveplay。myqcloud。com/ldocctvwbcd/cdrmldcctv2_1_ud。m3u8
