🕘️更新时间,#genre#
2025-10-01 18:37:50,http://ygbh.site/php/bfgd.php?id=488

📺央视超清频道,#genre#
CCTV-1 综合,http://ygbh.site/php/bfgd.php?id=488
CCTV-1 综合,http://218.241.192.50:8808/rtp/239.3.1.129:8008
CCTV-1 综合,http://ygbh.site/php/bfgd.php?id=488
CCTV-1 综合,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
CCTV-1 综合,http://120.76.248.139/live/bfgd/4200000489.m3u8
CCTV-1 综合,http://124.128.73.58:9901/tsfile/live/0001_1.m3u8
CCTV-1 综合,http://drive.mxmy.net:8888/udp/239.3.1.129:8008
CCTV-1 综合,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8
CCTV-1 综合,http://123.130.84.106:8154/tsfile/live/0001_1.m3u8
CCTV-1 综合,http://1.180.2.93:9901/tsfile/live/1020_1.m3u8
CCTV-2 财经,http://ygbh.site/php/bfgd.php?id=061
CCTV-2 财经,http://218.241.192.50:8808/rtp/239.3.1.60:8084
CCTV-2 财经,http://ygbh.site/php/bfgd.php?id=061
CCTV-2 财经,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8
CCTV-2 财经,http://124.128.73.58:9901/tsfile/live/0002_1.m3u8
CCTV-2 财经,http://drive.mxmy.net:8888/udp/239.3.1.60:8084
CCTV-2 财经,http://123.130.84.106:8154/tsfile/live/0002_1.m3u8
CCTV-3 综艺,http://ygbh.site/php/bfgd.php?id=062
CCTV-3 综艺,http://218.241.192.50:8808/rtp/239.3.1.172:8001
CCTV-3 综艺,http://ygbh.site/php/bfgd.php?id=062
CCTV-3 综艺,http://nas.hssvm.com:8888/udp/225.1.1.158:5002
CCTV-3 综艺,http://183.215.134.239:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3 综艺,http://171.15.18.199:8180/TV00000000000000000003@HHZT
CCTV-3 综艺,http://drive.mxmy.net:8888/udp/239.3.1.172:8001
CCTV-3 综艺,http://61.156.228.12:8154/tsfile/live/0003_1.m3u8
CCTV-3 综艺,http://222.169.85.8:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3 综艺,http://lt.hxtre.com:35455/itv/1000000001000011218.m3u8?cdn=ystenlive
CCTV-4 中文国际,http://ygbh.site/php/bfgd.php?id=063
CCTV-4 中文国际,http://218.241.192.50:8808/rtp/239.3.1.105:8092
CCTV-4 中文国际,http://ygbh.site/php/bfgd.php?id=063
CCTV-4 中文国际,http://nas.hssvm.com:8888/udp/225.1.1.150:5002
CCTV-4 中文国际,http://drive.mxmy.net:8888/udp/239.3.1.105:8092
CCTV-4 中文国际,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-4 中文国际,http://124.128.73.58:9901/tsfile/live/0004_1.m3u8
CCTV-4 中文国际,http://home.yulei.online:9999/rtp/226.0.2.156:9160
CCTV-4 中文国际,http://183.11.239.36:808/hls/67/index.m3u8
CCTV-4 中文国际,http://lt.hxtre.com:35455/itv/1000000002000031664.m3u8?cdn=ystenlive
CCTV-5 体育,http://ygbh.site/php/bfgd.php?id=064
CCTV-5 体育,http://218.241.192.50:8808/rtp/239.3.1.173:8001
CCTV-5 体育,http://218.241.192.50:8808/rtp/239.3.1.173:8001
CCTV-5 体育,http://ygbh.site/php/bfgd.php?id=064
CCTV-5 体育,http://drive.mxmy.net:8888/udp/239.3.1.173:8001
CCTV-5 体育,http://omnix.cn:4000/udp/225.1.8.89:8000
CCTV-5+ 体育赛事,http://ygbh.site/php/bfgd.php?id=246
CCTV-5+ 体育赛事,http://218.241.192.50:8808/rtp/239.3.1.130:8004
CCTV-6 电影,http://ygbh.site/php/bfgd.php?id=065
CCTV-6 电影,http://218.241.192.50:8808/rtp/239.3.1.174:8001
CCTV-7 国防军事,http://ygbh.site/php/bfgd.php?id=127
CCTV-7 国防军事,http://218.241.192.50:8808/rtp/239.3.1.61:8104
CCTV-7 国防军事,http://ygbh.site/php/bfgd.php?id=127
CCTV-7 国防军事,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv7_1_td.m3u8
CCTV-7 国防军事,http://124.128.73.58:9901/tsfile/live/0007_1.m3u8
CCTV-7 国防军事,http://omnix.cn:4000/udp/225.1.8.7:8104
CCTV-7 国防军事,http://drive.mxmy.net:8888/udp/239.3.1.61:8104
CCTV-7 国防军事,http://lt.hxtre.com:35455/itv/1000000001000024341.m3u8?cdn=ystenlive
CCTV-8 电视剧,http://ygbh.site/php/bfgd.php?id=066
CCTV-8 电视剧,http://218.241.192.50:8808/rtp/239.3.1.175:8001
CCTV-9 纪录,http://ygbh.site/php/bfgd.php?id=128
CCTV-9 纪录,http://218.241.192.50:8808/rtp/239.3.1.62:8112
CCTV-9 纪录,http://ygbh.site/php/bfgd.php?id=128
CCTV-9 纪录,http://222.169.85.8:9901/tsfile/live/0009_1.m3u8
CCTV-9 纪录,http://124.128.73.58:9901/tsfile/live/0009_1.m3u8
CCTV-9 纪录,http://61.136.172.236:9901/tsfile/live/0009_1.m3u8
CCTV-9 纪录,http://lt.hxtre.com:35455/itv/1000000001000028286.m3u8?cdn=ystenlive
CCTV-10 科教,http://ygbh.site/php/bfgd.php?id=129
CCTV-10 科教,http://218.241.192.50:8808/rtp/239.3.1.63:8116
CCTV-10 科教,http://ygbh.site/php/bfgd.php?id=129
CCTV-10 科教,http://124.128.73.58:9901/tsfile/live/0010_1.m3u8
CCTV-11 戏曲,http://ygbh.site/php/bfgd.php?id=130
CCTV-11 戏曲,http://116.128.242.83:9901/tsfile/live/0012_1.m3u8
CCTV-11 戏曲,http://ygbh.site/php/bfgd.php?id=130
CCTV-11 戏曲,http://218.241.192.50:8808/rtp/239.3.1.152:8120
CCTV-11 戏曲,http://drive.mxmy.net:8888/udp/239.3.1.152:8120
CCTV-11 戏曲,http://171.15.18.199:8180/TV00000000000000000011@HHZT
CCTV-11 戏曲,http://124.128.73.58:9901/tsfile/live/0011_1.m3u8
CCTV-11 戏曲,http://112.132.10.54:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-11 戏曲,http://111.14.181.15:9901/tsfile/live/0011_1.m3u8
CCTV-11 戏曲,http://61.136.172.236:9901/tsfile/live/0011_1.m3u8
CCTV-12 社会与法,http://ygbh.site/php/bfgd.php?id=131
CCTV-12 社会与法,http://111.227.196.164:9901/tsfile/live/faacts/0012_1.m3u8
CCTV-12 社会与法,http://ygbh.site/php/bfgd.php?id=131
CCTV-12 社会与法,http://nas.hssvm.com:8888/udp/225.1.1.142:5002
CCTV-12 社会与法,http://218.241.192.50:8808/rtp/239.3.1.64:8124
CCTV-12 社会与法,http://171.15.18.199:8180/TV00000000000000000012@HHZT
CCTV-12 社会与法,http://116.128.242.83:9901/tsfile/live/0013_1.m3u8
CCTV-12 社会与法,http://124.128.73.58:9901/tsfile/live/0012_1.m3u8
CCTV-13 新闻,http://ygbh.site/php/bfgd.php?id=067
CCTV-13 新闻,http://61.156.228.12:8154/tsfile/live/0013_1.m3u8
CCTV-13 新闻,http://ygbh.site/php/bfgd.php?id=067
CCTV-13 新闻,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8
CCTV-13 新闻,http://183.215.134.239:19901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13 新闻,http://drive.mxmy.net:8888/udp/239.3.1.124:8128
CCTV-13 新闻,http://218.241.192.50:8808/rtp/239.3.1.124:8128
CCTV-13 新闻,http://171.15.18.199:8180/TV00000000000000000013@HHZT
CCTV-13 新闻,http://61.136.172.236:9901/tsfile/live/0013_1.m3u8
CCTV-13 新闻,http://59.39.89.130:60901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14 少儿,http://ygbh.site/php/bfgd.php?id=132
CCTV-14 少儿,http://111.227.196.164:9901/tsfile/live/faacts/0014_1.m3u8
CCTV-14 少儿,http://ygbh.site/php/bfgd.php?id=132
CCTV-14 少儿,http://nas.hssvm.com:8888/udp/225.1.1.144:5002
CCTV-14 少儿,http://222.169.85.8:9901/tsfile/live/0014_1.m3u8
CCTV-14 少儿,http://218.241.192.50:8808/rtp/239.3.1.65:8132
CCTV-14 少儿,http://116.128.242.83:9901/tsfile/live/0015_1.m3u8
CCTV-14 少儿,http://60.16.0.216:5757/hls/15/index.m3u8
CCTV-14 少儿,http://61.136.172.236:9901/tsfile/live/0014_1.m3u8
CCTV-14 少儿,http://124.128.73.58:9901/tsfile/live/0014_1.m3u8
CCTV-15 音乐,http://ygbh.site/php/bfgd.php?id=133
CCTV-15 音乐,http://218.241.192.50:8808/rtp/239.3.1.153:8136
CCTV-15 音乐,http://ygbh.site/php/bfgd.php?id=133
CCTV-15 音乐,http://222.169.85.8:9901/tsfile/live/0015_1.m3u8
CCTV-15 音乐,http://171.15.18.199:8180/TV00000000000000000015@HHZT
CCTV-15 音乐,http://drive.mxmy.net:8888/udp/239.3.1.153:8136
CCTV-15 音乐,http://112.132.10.54:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-15 音乐,http://116.128.242.83:9901/tsfile/live/0016_1.m3u8
CCTV-16 奥林匹克,http://t.061899.xyz/tl/dq.php?id=cctv16
CCTV-16 奥林匹克,http://218.241.192.50:8808/rtp/239.3.1.184:8001
CCTV-16 奥林匹克,http://t.061899.xyz/tl/dq.php?id=cctv16
CCTV-16 奥林匹克,http://drive.mxmy.net:8888/udp/239.3.1.184:8001
CCTV-16 奥林匹克,http://www.lizhinas.top:1009/rtp/239.252.220.237:5140
CCTV-16 奥林匹克,http://home.yulei.online:9999/rtp/226.0.2.169:9264
CCTV-16 奥林匹克,http://lt.hxtre.com:35455/gaoma/cctv16.m3u8
CCTV-17 农业农村,http://ygbh.site/php/bfgd.php?id=204
CCTV-17 农业农村,http://218.241.192.50:8808/rtp/239.3.1.151:8144
CCTV-17 农业农村,http://ygbh.site/php/bfgd.php?id=204
CCTV-17 农业农村,http://drive.mxmy.net:8888/udp/239.3.1.188:8001
CCTV-17 农业农村,http://lt.hxtre.com:35455/itv/1000000005000265015.m3u8?cdn=ystenlive

📺央视高清频道,#genre#
CCTV-1,http://ygbh.site/php/bfgd.php?id=488
