🕘️更新时间,#genre#
2026-07-04 23:14:28,http://218.241.192.50:8808/rtp/239.3.1.129:8008

📺央视超清频道,#genre#
CCTV-1 综合,http://218.241.192.50:8808/rtp/239.3.1.129:8008
CCTV-1 综合,http://ygbh.site/php/bfgd.php?id=488
CCTV-1 综合,http://ygbh.site/php/bfgd.php?id=488
CCTV-1 综合,rtmp://39.108.129.193:1935/cctv1/1sao
CCTV-1 综合,https://iptv.catvod.com/live.php?id=CCTV1&line=16
CCTV-1 综合,http://198.204.240.250:82/live/cctv1.m3u8
CCTV-1 综合,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd
CCTV-1 综合,http://198.204.228.26/live/cctv1hd.m3u8
CCTV-1 综合,http://192.151.150.154/live/cctv1hd.m3u8
CCTV-1 综合,http://173.208.212.130:8181/720p/cctv1.m3u8
CCTV-2 财经,http://218.241.192.50:8808/rtp/239.3.1.60:8084
CCTV-2 财经,http://ygbh.site/php/bfgd.php?id=061
CCTV-2 财经,http://ygbh.site/php/bfgd.php?id=061
CCTV-2 财经,rtmp://39.108.129.193:1935/cv2/mx6o_cv2
CCTV-2 财经,http://107.150.60.122/live/cctv2hd.m3u8
CCTV-2 财经,http://198.204.228.26/live/cctv2hd.m3u8
CCTV-2 财经,http://173.208.212.130:8181/720p/cctv2.m3u8
CCTV-2 财经,http://207.56.13.146:81/cdnlive/cctv2.m3u8
CCTV-3 综艺,http://218.241.192.50:8808/rtp/239.3.1.172:8001
CCTV-3 综艺,http://ygbh.site/php/bfgd.php?id=062
CCTV-3 综艺,http://ygbh.site/php/bfgd.php?id=062
CCTV-3 综艺,rtmp://39.108.129.193:1935/cv3/yxz4_cv3
CCTV-3 综艺,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd
CCTV-3 综艺,http://192.151.150.154/live/cctv3hd.m3u8
CCTV-3 综艺,http://198.204.228.26/live/cctv3hd.m3u8
CCTV-3 综艺,http://207.56.13.146:81/cdnlive/cctv3.m3u8
CCTV-3 综艺,http://173.208.212.130:8181/720p/cctv3.m3u8
CCTV-4 中文国际,http://218.241.192.50:8808/rtp/239.3.1.105:8092
CCTV-4 中文国际,http://ygbh.site/php/bfgd.php?id=063
CCTV-4 中文国际,http://ygbh.site/php/bfgd.php?id=063
CCTV-4 中文国际,rtmp://39.108.129.193:1935/cv4/3wqo_cv4
CCTV-4 中文国际,https://iptv.catvod.com/live.php?id=CCTV4&line=13
CCTV-4 中文国际,http://198.204.228.26/live/cctv4hd.m3u8
CCTV-4 中文国际,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
CCTV-4 中文国际,http://207.56.13.146:81/cdnlive/cctv4.m3u8
CCTV-4 中文国际,http://173.208.212.130:8181/720p/cctv4.m3u8
CCTV-4 中文国际,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd
CCTV-5 体育,http://218.241.192.50:8808/rtp/239.3.1.173:8001
CCTV-5 体育,http://ygbh.site/php/bfgd.php?id=064
CCTV-5 体育,http://218.241.192.50:8808/rtp/239.3.1.173:8001
CCTV-5 体育,rtmp://39.108.129.193:1935/cv5/6mio_cv5
CCTV-5 体育,https://iptv.catvod.com/live.php?id=CCTV5&line=12
CCTV-5 体育,http://198.204.228.26/live/cctv5hd.m3u8
CCTV-5 体育,http://173.208.212.130:8181/720p/cctv5.m3u8
CCTV-5+ 体育赛事,http://218.241.192.50:8808/rtp/239.3.1.130:8004
CCTV-5+ 体育赛事,http://ygbh.site/php/bfgd.php?id=246
CCTV-6 电影,http://218.241.192.50:8808/rtp/239.3.1.174:8001
CCTV-6 电影,http://ygbh.site/php/bfgd.php?id=065
CCTV-7 国防军事,http://218.241.192.50:8808/rtp/239.3.1.61:8104
CCTV-7 国防军事,http://ygbh.site/php/bfgd.php?id=127
CCTV-7 国防军事,http://ygbh.site/php/bfgd.php?id=127
CCTV-7 国防军事,rtmp://39.108.129.193:1935/cv7/n6v4_cv7
CCTV-7 国防军事,https://iptv.catvod.com/live.php?id=CCTV7&line=7
CCTV-7 国防军事,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv7hd
CCTV-7 国防军事,http://192.151.150.154/live/cctv7hd.m3u8
CCTV-7 国防军事,http://198.204.228.26/live/cctv7hd.m3u8
CCTV-7 国防军事,http://173.208.212.130:8181/720p/cctv7.m3u8
CCTV-7 国防军事,http://www.negative.top:50000/rtp/233.50.200.102:5140
CCTV-8 电视剧,http://218.241.192.50:8808/rtp/239.3.1.175:8001
CCTV-8 电视剧,http://ygbh.site/php/bfgd.php?id=066
CCTV-8 电视剧,https://iptv.catvod.com/catvod?id=CCTV8%E7%94%B5%E8%A7%86%E5%89%A7&line=1
CCTV-9 纪录,http://218.241.192.50:8808/rtp/239.3.1.62:8112
CCTV-9 纪录,http://ygbh.site/php/bfgd.php?id=128
CCTV-9 纪录,http://ygbh.site/php/bfgd.php?id=128
CCTV-9 纪录,rtmp://39.108.129.193:1935/cv9/jr0g_cv9
CCTV-9 纪录,https://iptv.catvod.com/live.php?id=CCTV9&line=3
CCTV-9 纪录,http://198.204.228.26/live/cctv9hd.m3u8
CCTV-9 纪录,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv9hd
CCTV-9 纪录,http://38.75.136.137:98/gslb/dsdqpub/cctv9hd.m3u8?auth=testpub
CCTV-9 纪录,http://173.208.212.130:8181/720p/cctv9.m3u8
CCTV-10 科教,http://218.241.192.50:8808/rtp/239.3.1.63:8116
CCTV-10 科教,http://ygbh.site/php/bfgd.php?id=129
CCTV-10 科教,http://ygbh.site/php/bfgd.php?id=129
CCTV-10 科教,rtmp://39.108.129.193:1935/cv10/3fy8_cv10
CCTV-10 科教,https://iptv.catvod.com/live.php?id=CCTV10&line=3
CCTV-10 科教,http://192.151.150.154/live/cctv10hd.m3u8
CCTV-10 科教,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv10hd
CCTV-10 科教,http://207.56.13.146:81/cdnlive/cctv10.m3u8
CCTV-10 科教,http://173.208.212.130:8181/1080p/cctv10.m3u8
CCTV-10 科教,https://cdn4.skygo.mn/live/disk1/CCTV-10/HLSv3-FTA/CCTV-10.m3u8
CCTV-11 戏曲,http://116.128.242.83:9901/tsfile/live/0012_1.m3u8
CCTV-11 戏曲,http://ygbh.site/php/bfgd.php?id=130
CCTV-11 戏曲,http://ygbh.site/php/bfgd.php?id=130
CCTV-11 戏曲,rtmp://39.108.129.193:1935/cv11/gjnk_cv11
CCTV-11 戏曲,https://iptv.catvod.com/live.php?id=CCTV11&line=7
CCTV-11 戏曲,http://192.151.150.154/live/cctv11hd.m3u8
CCTV-11 戏曲,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv11hd
CCTV-11 戏曲,http://198.204.228.26/live/cctv11hd.m3u8
CCTV-11 戏曲,http://107.150.60.122/live/cctv11hd.m3u8
CCTV-11 戏曲,http://173.208.212.130:8181/720p/cctv11.m3u8
CCTV-12 社会与法,http://111.227.196.164:9901/tsfile/live/faacts/0012_1.m3u8
CCTV-12 社会与法,http://ygbh.site/php/bfgd.php?id=131
CCTV-12 社会与法,http://ygbh.site/php/bfgd.php?id=131
CCTV-12 社会与法,rtmp://39.108.129.193:1935/cv12/m8w0_cv12
CCTV-12 社会与法,https://iptv.catvod.com/live.php?id=CCTV12&line=5
CCTV-12 社会与法,http://107.150.60.122/live/cctv12hd.m3u8
CCTV-12 社会与法,http://198.204.228.26/live/cctv12hd.m3u8
CCTV-12 社会与法,http://38.75.136.137:98/gslb/dsdqpub/cctv12hd.m3u8?auth=testpub
CCTV-12 社会与法,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv12hd
CCTV-12 社会与法,http://173.208.212.130:8181/720p/cctv12.m3u8
