🕘️更新时间,#genre#
2025-09-26 23:42:36,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8

#📺央视超清频道,#genre#
CCTV-1 综合,http://218.241.192.50:8808/rtp/239.3.1.129:8008
CCTV-2 财经,http://218.241.192.50:8808/rtp/239.3.1.60:8084
CCTV-3 综艺,http://218.241.192.50:8808/rtp/239.3.1.172:8001
CCTV-4 中文国际,http://218.241.192.50:8808/rtp/239.3.1.105:8092
CCTV-5 体育,http://218.241.192.50:8808/rtp/239.3.1.173:8001
CCTV-5+ 体育赛事,http://218.241.192.50:8808/rtp/239.3.1.130:8004
CCTV-6 电影,http://218.241.192.50:8808/rtp/239.3.1.174:8001
CCTV-7 国防军事,http://218.241.192.50:8808/rtp/239.3.1.61:8104
CCTV-8 电视剧,http://218.241.192.50:8808/rtp/239.3.1.175:8001
CCTV-9 纪录,http://218.241.192.50:8808/rtp/239.3.1.62:8112
CCTV-10 科教,http://218.241.192.50:8808/rtp/239.3.1.63:8116
CCTV-11 戏曲,http://116.128.242.83:9901/tsfile/live/0012_1.m3u8
CCTV-12 社会与法,http://111.227.196.164:9901/tsfile/live/faacts/0012_1.m3u8
CCTV-13 新闻,http://61.156.228.12:8154/tsfile/live/0013_1.m3u8
CCTV-14 少儿,http://111.227.196.164:9901/tsfile/live/faacts/0014_1.m3u8
CCTV-15 音乐,http://218.241.192.50:8808/rtp/239.3.1.153:8136
CCTV-16 奥林匹克,http://218.241.192.50:8808/rtp/239.3.1.184:8001
CCTV-17 农业农村,http://218.241.192.50:8808/rtp/239.3.1.151:8144

📺央视高清频道,#genre#
CCTV-1,http://112.123.206.32:808/hls/1/index.m3u8
CCTV-1,http://218.241.192.50:8808/rtp/239.3.1.129:8008
CCTV-1,http://ms.fxim.net:808/hls/1/index.m3u8
CCTV-1,http://221.2.148.205:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://59.39.89.130:60901/tsfile/live/0001_1.m3u8
CCTV-1,http://61.156.228.12:8154/tsfile/live/0001_1.m3u8
CCTV-1,http://223.241.247.214:9901/tsfile/live/0001_1.m3u8
CCTV-1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://112.123.206.32:808/hls/1/index.m3u8
CCTV-1,http://112.27.235.94:8000/hls/1/index.m3u8
CCTV-1,http://36.32.174.67:60080/newlive/live/hls/14/live.m3u8
CCTV-1,http://120.238.94.10:9901/tsfile/live/1018_1.m3u8
CCTV-1,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://183.222.242.31:8088/hls/1/index.m3u8
CCTV-1,http://113.57.93.165:9900/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://218.241.192.50:8808/rtp/239.3.1.60:8084
CCTV-2,http://php.cqshushu.ggff.net/jzb.php?id=cctv2&公众号【医工学习日志】
CCTV-2,http://ms.fxim.net:808/hls/2/index.m3u8
CCTV-2,http://183.215.134.239:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://36.32.174.67:60080/newlive/live/hls/2/live.m3u8
CCTV-2,http://112.123.206.32:808/hls/2/index.m3u8
CCTV-2,http://61.156.228.12:8154/tsfile/live/0002_1.m3u8
CCTV-2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://111.227.196.164:9901/tsfile/live/faacts/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://120.238.94.10:9901/tsfile/live/1019_1.m3u8
