🕘️更新时间,#genre#
2026-03-05 22:51:39,http://218.241.192.50:8808/rtp/239.3.1.129:8008

📺央视超清频道,#genre#
CCTV-1 综合,http://218.241.192.50:8808/rtp/239.3.1.129:8008
CCTV-1 综合,http://ygbh.site/php/bfgd.php?id=488
CCTV-1 综合,http://ygbh.site/php/bfgd.php?id=488
CCTV-1 综合,https://iptv.catvod.com/live.php?id=CCTV1&line=16
CCTV-1 综合,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
CCTV-2 财经,http://218.241.192.50:8808/rtp/239.3.1.60:8084
CCTV-2 财经,http://ygbh.site/php/bfgd.php?id=061
CCTV-2 财经,http://ygbh.site/php/bfgd.php?id=061
CCTV-2 财经,http://156.238.248.80:8880/play/2.m3u8
CCTV-2 财经,https://iptv.catvod.com/live.php?id=CCTV2&line=12
CCTV-3 综艺,http://218.241.192.50:8808/rtp/239.3.1.172:8001
CCTV-3 综艺,http://ygbh.site/php/bfgd.php?id=062
CCTV-3 综艺,http://ygbh.site/php/bfgd.php?id=062
CCTV-3 综艺,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009
CCTV-3 综艺,http://156.238.248.80:8880/play/3.m3u8
CCTV-4 中文国际,http://218.241.192.50:8808/rtp/239.3.1.105:8092
CCTV-4 中文国际,http://ygbh.site/php/bfgd.php?id=063
CCTV-4 中文国际,http://ygbh.site/php/bfgd.php?id=063
CCTV-4 中文国际,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009
CCTV-4 中文国际,http://156.238.248.80:8880/play/4.m3u8
CCTV-5 体育,http://218.241.192.50:8808/rtp/239.3.1.173:8001
CCTV-5 体育,http://ygbh.site/php/bfgd.php?id=064
CCTV-5 体育,http://218.241.192.50:8808/rtp/239.3.1.173:8001
CCTV-5 体育,http://38.75.136.137:98/gslb/dsdqbv/cctv5hd.m3u8?auth=test20251009
CCTV-5 体育,https://iptv.catvod.com/live.php?id=CCTV5&line=12
CCTV-5+ 体育赛事,http://218.241.192.50:8808/rtp/239.3.1.130:8004
CCTV-5+ 体育赛事,http://ygbh.site/php/bfgd.php?id=246
CCTV-6 电影,http://218.241.192.50:8808/rtp/239.3.1.174:8001
CCTV-6 电影,http://ygbh.site/php/bfgd.php?id=065
CCTV-7 国防军事,http://218.241.192.50:8808/rtp/239.3.1.61:8104
CCTV-7 国防军事,http://ygbh.site/php/bfgd.php?id=127
CCTV-7 国防军事,http://ygbh.site/php/bfgd.php?id=127
CCTV-7 国防军事,https://iptv.catvod.com/live.php?id=CCTV7&line=14
CCTV-7 国防军事,http://38.75.136.137:98/gslb/dsdqbv/cctv7hd.m3u8?auth=test20251009
CCTV-8 电视剧,http://218.241.192.50:8808/rtp/239.3.1.175:8001
CCTV-8 电视剧,http://ygbh.site/php/bfgd.php?id=066
CCTV-9 纪录,http://218.241.192.50:8808/rtp/239.3.1.62:8112
CCTV-9 纪录,http://ygbh.site/php/bfgd.php?id=128
CCTV-9 纪录,http://ygbh.site/php/bfgd.php?id=128
CCTV-9 纪录,https://iptv.catvod.com/live.php?id=CCTV9&line=3
CCTV-9 纪录,http://38.75.136.137:98/gslb/dsdqbv/cctv9hd.m3u8?auth=test20251009
CCTV-9 纪录,http://156.238.248.80:8880/play/10.m3u8
CCTV-9 纪录,https://v4-e6b1c5baf4e240fe63adbf68dda23435.livehwc4.com/play.kankanlive.com/live/1698423397390920.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=1373ffcb6e7c62fb45a5d151c96105d9
CCTV-10 科教,http://218.241.192.50:8808/rtp/239.3.1.63:8116
CCTV-10 科教,http://ygbh.site/php/bfgd.php?id=129
CCTV-10 科教,http://ygbh.site/php/bfgd.php?id=129
CCTV-10 科教,http://38.75.136.137:98/gslb/dsdqbv/cctv10hd.m3u8?auth=test20251009
CCTV-11 戏曲,http://116.128.242.83:9901/tsfile/live/0012_1.m3u8
CCTV-11 戏曲,http://ygbh.site/php/bfgd.php?id=130
CCTV-11 戏曲,http://ygbh.site/php/bfgd.php?id=130
CCTV-11 戏曲,http://38.75.136.137:98/gslb/dsdqbv/cctv11hd.m3u8?auth=test20251009
CCTV-11 戏曲,http://23.237.228.134/live3/CCTV11.m3u8
CCTV-12 社会与法,http://111.227.196.164:9901/tsfile/live/faacts/0012_1.m3u8
CCTV-12 社会与法,http://ygbh.site/php/bfgd.php?id=131
CCTV-12 社会与法,http://ygbh.site/php/bfgd.php?id=131
CCTV-12 社会与法,https://iptv.catvod.com/live.php?id=CCTV12&line=14
